"Iron Man","126","585366247"
"L'incroyable Hulk","112","264770996"
"Iron Man 2","124","623933331"
"Thor","115","449326618"
"Captain America : le premier vengeur","124","370569774"
"Les Vengeurs","143","1518812988"
"Homme de fer 3","130","1214811252"
"Thor: Le Monde des Ténèbres","112","644783140"
"Capitaine Amérique: Le Soldat de l'Hiver","136","714421503"
"gardiens de la Galaxie","121","772776600"
"Avengers: l'ère d'Ultron","141","1402805868"
"L'homme fourmi","117","519311965"
"Captain America : guerre civile","147","1153296293"
"Docteur étrange","115","677718395"
"Les Gardiens de la Galaxie Vol. 2","136","863756051"
"Spider-Man : Retrouvailles","133","880166924"
"Thor : Ragnarök","130","853977126"
"Panthère noire","134","1346913161"
"Avengers : guerre à l'infini","149","2048359754"
"Ant-Man et la Guêpe","118","622674139"
"Capitaine Marvel","123","1128274794"
"Avengers : Fin de partie","181","2797501328"
"Spider-Man : loin de chez soi","129","1131927996"
